CPコード,入外区分,診療科,パス項目名称,作成日,更新日
CP000788,入外両用,消化器内科,12　大腸ESD,2021/11/08,2024/09/27
CP000799,入外両用,糖尿病内分泌内科,1-①　糖尿病教育入院（2週間コース）,2015/12/10,2022/03/10
CP000800,入外両用,糖尿病内分泌内科,1-②　糖尿病教育入院（１週間コース）,2015/12/10,2022/03/10
CP000801,入院用,小児科,31　新生児呼吸障害,2013/05/12,2022/03/10
CP000802,入外両用,小児科,27　高ビリルビン血症,2012/12/15,2022/03/09
CP000803,入院用,小児科,29　新生児感染症,2012/12/15,2022/03/11
CP000804,入院用,小児科,28　高ビリルビン血症（リバウンド用）,2012/12/15,2022/03/09
CP000805,入院用,小児科,30　新生児低血糖疑い,2013/05/12,2022/03/09
CP000809,入外両用,外科,104 乳癌の手術（ﾄﾞﾚｰﾝあり/なし）,2011/11/14,2023/01/18
CP000810,入外両用,外科,食道,2015/02/11,2022/03/23
CP000811,入外両用,外科,胸腔鏡下食道亜全摘,2015/03/02,2022/03/23
CP000812,入外両用,外科,ｍFOLFOX（作成中）,2017/01/06,2022/03/24
CP000813,入外両用,外科,101 ｽﾄﾏ造設術　　（2018年　承認）,2017/08/23,2023/01/18
CP000814,入外両用,外科,107 胃の全摘出術　　（2018年　承認）,2017/08/23,2023/01/18
CP000816,入外両用,外科,102 新：大腸切除術　　　（2018年　承認）,2017/10/12,2023/03/29
CP000824,入外両用,外科,TAPP テスト 2021/01/04②,2021/01/04,2022/03/24
CP000833,入外両用,外科,腹壁瘢痕ヘルニア(腹腔鏡) (2021/11/25),2021/11/14,2023/01/18
CP000834,入外両用,外科,腹腔鏡下胆嚢摘出術　（2021/11/14）修正,2021/11/14,2023/08/08
CP000835,入外両用,外科,鼡径ヘルニア(腹腔鏡・開腹) 術後3日目退院2021/11/14修正.,2021/11/14,2025/09/14
CP000837,入外両用,外科,106 虫垂切除術R3,2021/12/24,2023/01/18
CP000838,入外両用,外科,腹腔鏡下虫垂切除術（2022/02/01）,2022/02/01,2023/08/08
CP000839,入外両用,外科,108 胃切除術（全摘以外）　　（2018年　承認）,2017/08/23,2023/01/18
CP000841,入外両用,整形外科,110　グローイングロッド延長手術,2013/07/05,2022/01/18
CP000842,入外両用,整形外科,112　自己血貯血（病棟用）,2013/07/01,2025/11/06
CP000843,入外両用,整形外科,111　MED（内視鏡下ヘルニア摘出術）,2013/07/05,2025/04/27
CP000844,入外両用,整形外科,141　VEPTR延長術,2013/03/04,2022/03/10
CP000846,入外両用,整形外科,ヘルニコア　1泊2日入院（作成中）,2013/03/04,2026/01/27
CP000850,入外両用,整形外科,113特発性側弯症　脊椎後方固定術,2013/06/08,2025/04/27
CP000851,入外両用,整形外科,3　自己血貯血（外来用）,2013/12/16,2022/03/10
CP000852,入外両用,整形外科,右大腿骨頚部骨折人工骨頭置換術,2014/11/25,2025/04/27
CP000853,入外両用,整形外科,右大腿骨転子部骨折　骨接合術,2021/11/24,2025/05/03
CP000854,入外両用,整形外科,抜釘術(上肢),2021/11/24,2025/04/27
CP000855,入外両用,整形外科,抜釘術(下肢),2021/11/24,2025/04/27
CP000856,入外両用,整形外科,左大腿骨転子部骨折　骨接合術,2022/02/23,2025/05/03
CP000857,入外両用,整形外科,左大腿骨頚部骨折人工骨頭置換術,2022/03/01,2025/04/27
CP000858,入外両用,整形外科,右肩腱板断裂　関節鏡下肩腱板断裂手術（簡単）,2022/03/01,2025/04/27
CP000859,入外両用,脳神経外科,慢性硬膜下血腫穿頭血腫除去術,2006/09/12,2022/03/09
CP000860,入外両用,脳神経外科,脳アンギオ,2009/04/19,2022/01/29
CP000861,入外両用,呼吸器外科,自然気胸（外科的治療）,2012/10/06,2022/03/10
CP000862,入外両用,呼吸器外科,自然気胸（内科的治療）,2012/10/06,2022/03/10
CP000863,入外両用,呼吸器外科,肺切除術,2009/01/15,2022/03/10
CP000864,入外両用,呼吸器外科,自然気胸（内科的治療）テスト,2020/09/01,2022/03/09
CP000865,入外両用,皮膚科,115　帯状疱疹,2011/02/07,2022/03/09
CP000866,入外両用,皮膚科,皮膚科腫瘍切除術,2012/05/09,
CP000867,入外両用,皮膚科,116　皮膚科良性腫瘍切除術,2010/12/16,2022/03/09
CP000868,入外両用,皮膚科,皮膚科当日OP　2泊3日,2016/07/17,2016/12/04
CP000869,入外両用,皮膚科,皮膚科手術1泊2日入院,2018/01/02,2018/03/16
CP000870,入外両用,泌尿器科,119　前立腺生検,2012/03/05,2022/03/11
CP000871,入外両用,泌尿器科,117　経尿道的膀胱腫瘍切除術,2013/10/27,2022/03/10
CP000872,入外両用,泌尿器科,118　経尿道的前立腺切除術,2012/03/05,2022/03/10
CP000873,入外両用,泌尿器科,前立腺生検　　改定,2012/11/06,2022/03/10
CP000874,入外両用,産婦人科,2026/05/15　中止○123　腹式単純子宮全摘術,2013/09/25,2026/05/15
CP000875,入外両用,産婦人科,2026/05/15　中止○125　腹腔鏡下子宮筋腫核出術,2013/11/08,2026/05/15
CP000877,入外両用,産婦人科,2026/05/15　中止○135　子宮脱根治術,2013/11/24,2026/05/15
CP000878,入外両用,産婦人科,2026/05/15　中止○125　妊婦用腹腔鏡下手術,2014/10/05,2026/05/15
CP000879,入外両用,産婦人科,2026/05/15　中止○143　子宮頚癌手術,2015/07/15,2026/05/15
CP000880,入外両用,産婦人科,2026/05/15　中止○144　子宮体癌手術,2016/01/09,2026/05/15
CP000882,入外両用,産婦人科,〇　TC療法　2泊3日,2016/08/26,2026/05/15
CP000883,入外両用,産婦人科,2026/05/15　中止○　腹腔鏡下手術,2016/12/13,2026/05/15
CP000884,入外両用,産婦人科,2026/05/15　中止〇127　TCR　術後3日目退院,2018/09/26,2026/05/15
CP000885,入外両用,産婦人科,2026/05/15　中止〇128　円錐切除術（コニゼーション）5日間,2018/09/26,2026/05/15
CP000887,入外両用,産婦人科,〇3　自己血貯血（妊婦）,2022/01/05,2022/03/16
CP000891,入外両用,救急外来,2　経過観察入院,2009/03/13,2022/03/09
CP000898,入外両用,眼科,137　両目白内障手術（5泊6日）,2014/02/17,2025/10/08
CP000899,入外両用,眼科,138　両目白内障手術（月曜入院7泊8日）,2014/02/17,2025/10/08
CP000900,入外両用,眼科,139　両目白内障手術（木入院7泊8日）,2014/02/17,2025/10/08
CP000901,入外両用,眼科,131-①（前日スタート)左白内障手術3泊4日,2014/02/18,2025/10/08
CP000902,入外両用,眼科,131-①（前日スタート）右白内障手術3泊4日,2014/02/18,2025/10/08
CP000903,入外両用,眼科,131-②（当日スタート）右白内障手術3泊4日,2014/02/18,2025/10/08
CP000904,入外両用,眼科,131-②（当日スタート）左白内障手術3泊4日,2014/02/18,2025/10/08
CP000909,入外両用,眼科,132-①（前日スタート）右白内障手術4泊5日,2014/02/18,2025/10/08
CP000910,入外両用,眼科,132-①（前日スタート）左白内障手術4泊5日,2014/02/18,2025/10/08
CP000913,入外両用,眼科,130（当日スタート）右白内障手術2泊3日,2014/02/18,2025/10/08
CP000914,入外両用,眼科,130（当日スタート）左白内障手術2泊3日,2014/02/18,2025/10/08
CP000915,入外両用,眼科,（前日スタート）右白内障手術2泊3日,2014/04/14,2025/10/08
CP000916,入外両用,眼科,（前日スタート）左白内障手術2泊3日,2014/04/14,2025/10/08
CP000917,入外両用,眼科,129（当日スタート）左白内障手術1泊2日,2014/04/16,2025/10/08
CP000918,入外両用,眼科,129（当日スタート）右白内障手術1泊2日,2014/04/16,2025/10/08
CP000920,入外両用,眼科,左抗VEGF薬(ｱｲﾘｰｱ)硝子体内注射,2015/11/25,2025/10/08
CP000921,入外両用,眼科,右抗VEGF薬(ｱｲﾘｰｱ)硝子体内注射,2015/11/25,2025/10/08
CP000922,入外両用,眼科,左抗VEGF薬(ﾙｾﾝﾃｨｽ)硝子体内注射,2015/12/06,2025/10/08
CP000923,入外両用,眼科,右抗VEGF薬(ﾙｾﾝﾃｨｽ)硝子体内注射,2015/12/06,2025/10/08
CP000924,入外両用,眼科,140　仮抗VEGF薬硝子体内注射,2017/03/04,2025/10/08
CP000925,入外両用,眼科,左白内障手術（外来用）,2022/01/13,2022/03/14
CP000926,入外両用,眼科,右白内障手術（外来用),2022/01/13,2022/03/14
CP000927,入外両用,眼科,左抗VEGF薬(ｱｲﾘｰｱ)硝子体内注射(外来用),2022/01/14,2022/03/14
CP000928,入外両用,眼科,右抗VEGF薬(ｱｲﾘｰｱ)硝子体内注射(外来用),2022/01/14,2022/03/14
CP000929,入外両用,眼科,左抗VEGF薬(ﾙｾﾝﾃｨｽ)硝子体内注射(外来用),2022/01/14,2022/03/14
CP000930,入外両用,眼科,右抗VEGF薬(ﾙｾﾝﾃｨｽ)硝子体内注射(外来用),2022/01/14,2022/03/14
CP000931,入外両用,耳鼻いんこう科,内視鏡下副鼻腔手術,2012/03/05,2022/03/14
CP000932,入外両用,耳鼻いんこう科,顔面神経麻痺,2011/11/14,2022/03/09
CP000933,入外両用,耳鼻いんこう科,突発性難聴,2011/11/14,2022/03/09
CP000934,入外両用,耳鼻いんこう科,扁桃摘出手術,2011/12/16,2022/03/14
CP000935,入外両用,耳鼻いんこう科,外来手術(耳鼻科）,2012/01/19,2014/01/16
CP000936,入外両用,耳鼻いんこう科,作成中：顕微鏡下喉頭微細手術（ラリンゴマイクロサージェリー）,2013/02/14,2022/03/14
CP000937,入外両用,耳鼻いんこう科,31　顔面神経麻痺,2014/02/07,2022/03/10
CP000938,入外両用,耳鼻いんこう科,32　突発性難聴,2014/02/07,2022/03/22
CP000939,入外両用,耳鼻いんこう科,133　内視鏡下副鼻腔手術　※使用禁止!!,2014/02/07,2022/03/14
CP000940,入外両用,耳鼻いんこう科,134　顕微鏡下喉頭微細手術（ラリンゴマイクロサージェリー）,2014/02/07,2022/03/09
CP000941,入外両用,耳鼻いんこう科,133　内視鏡下副鼻腔手術　　（2018年　承認）,2017/11/23,2022/03/09
CP000942,入外両用,耳鼻いんこう科,31　顔面神経麻痺 R3　修正,2021/12/24,2022/03/14
CP000972,入外両用,循環器内科,16 電気的徐細動,2012/10/22,2024/09/27
CP000975,入院用,循環器内科,（不要）18　軽症心筋梗塞（緊急カテ後）,2015/11/09,2022/12/14
CP000979,入外両用,産科,○120　正常分娩,2013/12/02,2026/05/15
CP000980,入外両用,産科,2026/05/15　中止○121　予定帝王切開術,2013/12/02,2026/05/15
CP000981,入外両用,産科,2026/05/15　中止〇121　緊急帝王切開術,2014/01/07,2026/05/15
CP000984,入外両用,産婦人科,2026/05/15　中止○125　腹腔鏡下子宮全摘術,2022/03/15,2026/05/15
CP000985,入外両用,産婦人科,2026/05/15　中止○122　子宮内容除去術入院　2日間,2022/03/16,2026/05/15
CP000986,入外両用,産婦人科,2026/05/15　中止○145　卵巣癌手術,2022/03/16,2026/05/15
CP000987,入外両用,整形外科,左肩腱板断裂　関節鏡下肩腱板断裂手術（簡単）,2022/04/13,2025/04/27
CP001015,入外両用,外科,※試運転※食道,2022/11/10,
CP001017,入外両用,外科,abc胸腔鏡下食道亜全摘,2022/11/10,
CP001019,入外両用,小児科,食物経口負荷試験(日帰り),2022/11/14,2023/10/31
CP001024,入外両用,泌尿器科,119　前立腺生検　R4.12承認,2022/11/30,2026/03/05
CP001029,入院用,整形外科,【R5】頚椎手術,2022/12/15,2025/04/27
CP001030,入外両用,循環器内科,経皮的大動脈弁形成術（BAV）,2022/12/19,2023/01/05
CP001031,入外両用,循環器内科,20 閉塞性動脈硬化症（ASO）下肢血管造影検査,2022/12/19,2023/01/05
CP001032,入外両用,循環器内科,17 高周波ｶﾃｰﾃﾙｱﾌﾞﾚｰｼｮﾝ（心筋焼灼術）,2022/12/23,2023/01/05
CP001034,入外両用,泌尿器科,経尿道的レーザー前立腺切除・蒸散術 承認R5.3.2,2023/01/04,2023/03/06
CP001035,入外両用,整形外科,【R5】右変形性膝関節症　関節置換術,2023/01/14,2025/04/27
CP001036,入外両用,整形外科,【R5】左変形性膝関節症　関節置換術,2023/01/14,2025/04/27
CP001038,入院用,整形外科,【R5】腰椎手術,2023/01/24,2025/04/27
CP001039,入外両用,泌尿器科,前立腺吊り上げ術　R5.3.2承認,2023/02/21,2023/03/06
CP001040,入外両用,整形外科,【R7】右人工股関節置換術（THA）,2023/06/01,2025/03/17
CP001041,入外両用,整形外科,【R7】左人工股関節置換術（THA）,2023/06/01,2025/03/17
CP001042,入院用,循環器内科,(作成中)STEMIパス,2023/06/23,2023/06/28
CP001043,入外両用,小児科,成長ホルモン負荷試験（SGA低身長）,2023/07/10,2024/09/27
CP001044,入外両用,小児科,成長ホルモン負荷試験（仮）BK,2023/07/13,
CP001045,入外両用,整形外科,右肩腱板断裂　関節鏡下腱板断裂手術（複雑）,2023/07/31,2024/09/23
CP001046,入外両用,整形外科,左肩腱板断裂　関節鏡下腱板断裂手術（複雑）,2023/07/31,2024/09/23
CP001047,入外両用,整形外科,右人工肩関節置換術,2023/07/31,2025/04/27
CP001048,入外両用,整形外科,左人工肩関節置換術,2023/07/31,2025/04/27
CP001049,入外両用,整形外科,右リバース型人工肩関節置換術,2023/07/31,2025/04/27
CP001050,入外両用,整形外科,左リバース型人工肩関節置換術,2023/07/31,2025/04/27
CP001051,入外両用,移行,128　☆発表用☆円錐切除術（コニゼーション）＿,2023/11/10,
CP001052,入外両用,小児科,成長ホルモン負荷試験（GHD）,2023/11/10,2024/09/27
CP001053,入外両用,泌尿器科,間質性膀胱炎・膀胱水圧拡張術（3/7承認）,2023/11/24,2024/03/07
CP001059,入院用,循環器内科,(作成中)ACSパス(ICU入室からCKピークアウトまで),2023/12/12,2023/12/12
CP001060,入院用,循環器内科,(作成中)17時以降入室/ACSパス(ICU入室からCKピークアウトまで),2023/12/12,
CP001061,入院用,循環器内科,(作成中）CK＞1500,2023/12/13,2023/12/13
CP001062,入院用,循環器内科,(作成中）②CK＞1500,2023/12/13,
CP001063,入院用,循環器内科,(作成中）①CK＞1500,2023/12/13,
CP001064,入外両用,循環器内科,14-②ペースメーカー新規植え込み術（金OP）★2025年改訂版,2023/12/14,2025/01/29
CP001067,入外両用,放射線科,CVポート造設(手術室),2024/04/18,2024/06/17
CP001068,入外両用,放射線科,【使用禁止】【旧・アンギオ室施行用】CVﾘｻﾞｰﾊﾞｰ留置,2024/10/07,
CP001069,入外両用,循環器内科,14-①ペースメーカー新規植え込み術（月OP）★2025年改訂版,2024/10/28,2025/01/29
CP001070,入外両用,循環器内科,15 ペースメーカー電池交換術（金）★2025年改訂版,2024/10/28,2025/01/27
CP001071,入外両用,呼吸器内科,アリケイス吸入療法,2025/03/01,2025/09/19
CP001073,入院用,呼吸器内科,タグリッソ導入,2025/06/06,2025/09/19
CP001077,入外両用,泌尿器科,〈作成中〉120　経皮的金マーカー留置、spaceOAR留置術,2025/08/14,2026/02/09
CP001078,入外両用,消化器内科,EUS,2025/09/08,
CP001080,入外両用,外科,鼡径ヘルニア(腹腔鏡・開腹) 術後４日目退院（R7承認）,2025/09/14,
CP001092,入外両用,整形外科,113特発性側弯症　脊椎後方固定術（小児）,2025/09/26,2025/11/12
CP001093,入外両用,循環器内科,15 ペースメーカー電池交換術（金）★2025年追加改訂版,2025/09/26,2025/09/26
CP001094,入外両用,循環器内科,14-②ペースメーカー新規植え込み術（金OP）★2025年追加改訂版,2025/09/26,
CP001100,入外両用,循環器内科,（作成中）経食道心エコー検査,2025/10/11,2025/12/19
CP001101,入外両用,耳鼻いんこう科,（作成中）　嚥下評価入院,2025/10/15,2025/12/16
CP001102,入外両用,移行,糖尿病教育入院（3週間コース）test,2025/10/16,
CP001104,入外両用,外科,＜作成中＞胃切除術（全摘）　2025/11/13,2025/10/16,2025/11/13
CP001106,入外両用,外科,＜作成中＞肝切除術　2026/5/13,2025/10/16,2026/05/13
CP001107,入外両用,外科,＜作成中＞膵頭十二指腸切除術　2025/11/10,2025/10/16,2025/11/10
CP001108,入外両用,循環器内科,経皮的冠動脈インターベンション（PCI3泊4日)★2025年改訂版,2025/10/19,
CP001109,入外両用,循環器内科,冠動脈造影検査（CAG2泊3日)★2025年改訂版,2025/10/19,
CP001110,入外両用,内科,原発アルドステロン症精査入院（3泊4日）★2025年改訂版,2025/10/19,2025/10/24
CP001111,入外両用,整形外科,113特発性側弯症　脊椎後方固定術(作成中）,2025/10/24,2025/10/27
CP001113,入院用,外科,<作成中>審査腹腔鏡　（2025/10/29),2025/10/29,2025/10/29
CP001114,入外両用,消化器内科,大腸ポリープ切除術後1泊2日パス,2025/11/10,2025/11/10
CP001115,入外両用,消化器内科,CS,2025/11/10,2025/12/12
CP001116,入外両用,外科,＜作成中＞胃切除術（全摘以外）　2025/11/13,2025/11/13,2025/11/13
CP001117,入外両用,循環器内科,心不全教育入院（金曜入院6泊7日),2026/01/22,2026/03/06
CP001118,入外両用,循環器内科,心不全教育入院（火曜入院7泊8日),2026/01/22,2026/03/06
CP001119,入院用,外科,腹腔鏡下胆嚢摘出術　（2025/10/16)修正,2026/03/05,
CP001122,入外両用,循環器内科,★AMI 急性心臓リハビリテーションプログラム（10.13日間コース）,2026/03/14,2026/05/29
CP001123,入外両用,産科,予定帝王切開術(GBS陽性),2026/05/08,2026/05/15
CP001124,入外両用,産科,予定帝王切開術(GBS陰性　破水なし),2026/05/08,2026/05/15
CP001125,入外両用,産科,緊急帝王切開術(GBS陽性),2026/05/08,2026/05/15
CP001127,入外両用,産科,緊急帝王切開術(GBS陰性　破水なし),2026/05/08,2026/05/15
CP001128,入外両用,産婦人科,○125　腹腔鏡下子宮全摘術,2026/05/08,2026/05/15
CP001129,入外両用,産婦人科,○125　腹腔鏡下子宮筋腫核出術,2026/05/08,2026/05/15
CP001130,入外両用,産婦人科,○123　腹式単純子宮全摘術,2026/05/08,2026/05/15
CP001131,入外両用,産婦人科,○135　子宮脱根治術,2026/05/08,2026/05/15
CP001132,入外両用,産婦人科,○125　妊婦用腹腔鏡下手術,2026/05/08,2026/05/15
CP001133,入外両用,産婦人科,○143　子宮頚癌手術,2026/05/08,2026/05/21
CP001134,入外両用,産婦人科,○144　子宮体癌手術,2026/05/08,2026/05/21
CP001135,入外両用,産婦人科,○145　卵巣癌手術,2026/05/08,2026/05/21
CP001136,入外両用,産婦人科,○　腹腔鏡下手術,2026/05/08,2026/05/15
CP001137,入外両用,産婦人科,〇127　TCR　術後3日目退院,2026/05/08,2026/05/15
CP001138,入外両用,産婦人科,〇128　円錐切除術（コニゼーション）5日間,2026/05/08,2026/05/15
CP001139,入外両用,産婦人科,○122　子宮内容除去術入院　2日間,2026/05/08,2026/05/15
CP001140,入外両用,産科,緊急帝王切開術(GBS陰性　破水あり),2026/05/11,2026/05/15
